fit_id,fit_name,gender,rise_class,thigh_room,leg_profile,official_fit_notes
tight_terry,Tight Terry,men,low,slim,tapered,"Tight Terry, our sharp and tight jean. Its tilted waist ensures a comfortable low waist, and the back pocket placement adds a distinct Nudie Jeans signature. Terry ranks as one of our tightest and most stretchy fits."
grim_tim,Grim Tim,men,low,slim,straight,"Grim Tim, our legendary slim straight jean. Crafted from stretch denim, Tim effortlessly blends comfort with a razor-sharp silhouette. Introduced in 2007, Tim shaped the modern slim fit jean and has since remained one of our most loved fits."
lean_dean,Lean Dean,men,mid,slim,tapered,"Lean Dean, our most acclaimed slim tapered jean. Crafted from stretch denim, Dean presents a harmoniously slim, tapered silhouette. Being our most loved fit ever, Dean is a Nudie Jeans icon."
slim_jim,Slim Jim,men,mid,slim,straight,"The Nudie Jeans classic, Slim Jim—a slim fit jean with a slight bootcut. Originally introduced in 2001, Jim features a slim silhouette with a slim leg and zip fly."
solid_ollie,Solid Ollie,men,mid,slim,tapered,"As the roomiest slim-fit style in our lineup, Solid Ollie is perfect for Lean Dean and Grim Tim fans after a fresher slim fit and for Gritty Jackson lovers looking for some stretch. Mid-waist with a button fly, it’s a no-fuss classic—a solid pair of jeans through and through."
gritty_jackson,Gritty Jackson,men,mid,slim,straight,"Gritty Jackson, a classic regular straight jean, featuring a mid-waist, a slimmed hip, and a straight leg. The fusion of a mid-waist and well-proportioned leg room creates a traditional jean silhouette. Jackson stands as our slimmest regular fit crafted from rigid denim."
flare_glenn,Flare Glenn,men,mid,moderate,relaxed,"Flare Glenn, our beloved flare jean originally introduced in 2001, is making a comeback. Glenn features a 00's-centric regular flare silhouette, synonymous with the early years of Nudie Jeans. It's a signature silhouette of ours that we're very proud to reintroduce in limited numbers."
steady_eddie_ii,Steady Eddie II,men,mid,moderate,tapered,"Steady Eddie II, our signature regular tapered jean. With slight spaciousness over the hip and thigh, it features a perfectly tapered silhouette, combining classic jeans aesthetics with contemporary style. Eddie II is crafted from rigid denim."
rad_rufus,Rad Rufus,men,high,moderate,straight,"Rad Rufus, a timeless classic fit, features a regular straight fit with a high waist. The high waist and well-proportioned leg room create an iconic jeans silhouette. Rufus is crafted from rigid denim."
tuff_tony,Tuff Tony,men,high,roomy,straight,"Tuff Tony, our perfected loose straight fit jean. With its high waist and loose straight leg, it is as modern as it is traditional, capturing the ideal balance of loose jeans ease and denim style. Tony is crafted from rigid denim."
loud_larry,Loud Larry,men,high,roomy,relaxed,"Our boldest and widest straight-fit jean. With a high waist and wide straight leg, Larry delivers a roomy silhouette that balances modernity with vintage denim heritage. Made with rigid denim."
