"fit_id","fit_name","gender","rise_class","thigh_room","leg_profile","official_fit_notes","community_fit_notes","status"
"super_guy","Super Guy","men","low","slim","tapered","Our skinny fit, slim throughout and tapers heavily from the knee down.","","active"
"weird_guy","Weird Guy","men","mid","moderate","tapered","Our standard tapered fit, comfortable from waist to hip and tapered from the knee to hem.","","active"
"easy_guy","Easy Guy","men","mid","roomy","tapered","Our laid back fit, fuller in the seat, hips and thighs with a sharp taper from the knee to hem.","","active"
"true_guy","True Guy","men","mid","slim","straight","Our slim straight fit with a regular rise, slim throughout the entire leg.","","active"
"strong_guy","Strong Guy","men","high","roomy","relaxed","Our high rise relaxed fit, fuller in the seat, hips and thighs with straight leg that falls to a wide leg opening.","","active"
"groovy_guy","Groovy Guy","men","high","moderate","relaxed","Our bootcut fit, comfortable from waist to hip, with high rise and regular leg that opens from the knee down.","","active"
"stacked_guy","Stacked Guy","men","low","slim","tapered","Our modern skinny fit, worn low on the hips and fitted from the waist to hem to a super slim leg opening.","","active"
"classic","Classic","women","high","roomy","straight","The Classic is a straight fit; high rise, fitted around the hips, fuller in the thigh that falls to a wide leg opening.","","active"
"arrow","Arrow","women","high","slim","straight","The Arrow is a slim straight fit; high rise, slim thighs, and straight from the knee to hem.","","active"
"max","Max","women","high","moderate","tapered","Our take on mom jeans. High rise, fitted around hips, with slim tapered legs.","","active"
"high_skinny","High Skinny","women","high","slim","tapered","Our skinny fit with higher rise. The silhouette frames the hip and elongates the legs.","","active"
"boyfriend","Boyfriend","women","mid","slim","tapered","Our take on modern boyfriend fit. Slim tapered silhouette with medium rise.","","active"
